Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q50	G-DPA-a	④ 法令・運用体制・利用者番号	事業側	最優先	基盤ベンダーの保守要員が海外から関与することの可否	基盤ソフトウェアの提供元（Red Hat 社）の保守要員が、海外の拠点から本基盤の管理部分に関与することを、貴社として許容できますか。 選択肢: - A) 許容する（提供元との取り決めで、閲覧記録の取得と監査の権利を確保することが条件） 【弊社の推奨・現行の暫定値】 — 現行のクラウド構成（基盤ソフトウェアの提供元が管理領域を運用する形態）を維持 - B) 許容できない → 管理部分も自社の環境内に置く構成に変更する - C) 一切許容できない → 基盤ソフトウェアをすべて自前で運用する構成に変更する - D) 未確定（法務確認中）	A) 許容する（提供元との取り決めで、閲覧記録の取得と監査の権利を確保することが条件） 【弊社の推奨・現行の暫定値】 — 現行のクラウド構成（基盤ソフトウェアの提供元が管理領域を運用する形態）を維持 / B) 許容できない → 管理部分も自社の環境内に置く構成に変更する / C) 一切許容できない → 基盤ソフトウェアをすべて自前で運用する構成に変更する / D) 未確定（法務確認中）	これが「どの基盤構成を採用するか」を直接決める、現時点で唯一残っている確認事項だからです。	A なら現行設計のまま、追加費用なし。B に変わると管理部分の設備が増えて利用料が上がり、C に変わると保守作業がすべて自社負担になるため運用人員がさらに必要になります。いずれの場合も「AWS を使う」ことは変わらず、変わるのは提供元が運用に関わる範囲だけです。技術面では、利用者の個人データ本体は提供元の管理領域に渡らない設計（データベースへ直接読み書きし、管理領域を経由しない／記録の詳細度を上げることを禁止するルール）をすでに組んでいます。ただし保守要員が調査のためにアプリの動作記録を閲覧し得る点は残るため、そこが確認の焦点です。法令に関わる判断のため、最終確定は法務確認が前提です。	
Q51	NFR-COMP-003	④ 法令・運用体制・利用者番号	事業側	通常	第三者による監査の証明書	貴社の顧客企業から、本基盤について第三者による監査の証明書（第三者機関が発行する監査報告書・認証書）の提出を求められる見込みはありますか。 選択肢: - A) 求められない見込み。Phase 1 は弊社作成の説明資料（設計概要・責任分担表・インシデント対応手順）で対応し、証明書の取得はリリース 6 か月後以降に事業判断 【弊社の推奨・現行の暫定値】（ADR-036） - B) 求められる（必要な証明書の種類と、必要になる時期をご記入ください） - C) 未確定	A) 求められない見込み。Phase 1 は弊社作成の説明資料（設計概要・責任分担表・インシデント対応手順）で対応し、証明書の取得はリリース 6 か月後以降に事業判断 【弊社の推奨・現行の暫定値】（ADR-036） / B) 求められる（必要な証明書の種類と、必要になる時期をご記入ください） / C) 未確定	証明書を取得するかどうかで、外部の監査機関に支払う費用と、そのために必要な運用記録の作り込み量が大きく変わるためです。	取得する場合、外部監査費用（年次で継続発生）と、証明のための記録・手順書の整備工数が追加になります。また監査を受けるには運用記録が一定期間分たまっている必要があるため、取得時期はリリースから最短でも 6 か月後になります。取得しない場合でも記録自体は残す設計なので、後から取得へ切り替えることは可能です。	C-202 と同趣旨 — 二重に聞かない
Q52	NFR-COMP-005b	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	カード決済に関わるアプリを将来つなぐ見込み	本基盤に接続するアプリの中に、将来クレジットカード情報を扱うものが出てくる見込みはありますか。 選択肢: - A) 見込みなし 【弊社の推奨・現行の暫定値】 - B) 見込みあり（時期・アプリ名をご記入ください） - C) 未確定	A) 見込みなし 【弊社の推奨・現行の暫定値】 / B) 見込みあり（時期・アプリ名をご記入ください） / C) 未確定	見込みがあるなら、対応が必要になる時期を逆算して、いま作る設計に「後から戻せる形」で残しておく必要があるためです。	B の場合、いま対象外にした項目を「削除」ではなく「凍結」として残す扱いを継続します（現状すでに凍結扱い）。設計本体への追加費用は発生しませんが、対応開始時期が確定すれば体制計画に反映します。	
Q53	NFR-COMP-006b	④ 法令・運用体制・利用者番号	事業側	通常	将来、認定暗号方式を求める顧客が現れる見込み	貴社の顧客企業の中に、将来「米国政府が認定した暗号方式」の使用を条件として求めてくる先（官公庁・防衛・米国政府調達に関わる企業など）が現れる見込みはありますか。 選択肢: - A) 見込みなし 【弊社の推奨・現行の暫定値】 - B) 見込みあり（想定業種・時期をご記入ください） - C) 未確定	A) 見込みなし 【弊社の推奨・現行の暫定値】 / B) 見込みあり（想定業種・時期をご記入ください） / C) 未確定	見込みがある場合、後から切り替えると影響範囲が広い（製品構成の変更）ため、いまの段階で「切り替えやすさ」を設計に織り込む判断があり得るためです。	B の場合、後日の切り替えを想定した構成上の配慮を検討します（Phase 1 の追加費用は小、切り替え実施時は検証工数が発生）。	
Q54	NFR-COMP-007a	④ 法令・運用体制・利用者番号	事業側	通常	記録（監査ログ）を残す期間	誰がいつログインしたか・誰が設定を変更したかの記録を、何年間残す必要がありますか。 選択肢: - A) 3 段階で保持：すぐ検索できる状態で 90 日 / 1 年 / 書き換え不能な形で 7 年 【弊社の推奨・現行の暫定値】（U7 §7.7.1、U9 §9.3.1） - B) 1 年 - C) 3 年 - D) 6 年 - E) 10 年 - F) 未確定	A) 3 段階で保持：すぐ検索できる状態で 90 日 / 1 年 / 書き換え不能な形で 7 年 【弊社の推奨・現行の暫定値】（U7 §7.7.1、U9 §9.3.1） / B) 1 年 / C) 3 年 / D) 6 年 / E) 10 年 / F) 未確定	保持年数が記録の保管費用と、後述の削除請求への回答文の両方を決めるためです。	保管費用は年数にほぼ比例します（書き換え不能な保管領域＋長期保管領域の容量）。7 年より短くする場合は費用が下がりますが、過去の不正調査ができる範囲も短くなります。	C-203（監査ログ保存期間）/ B-OBS-1（ログ保存期間）と同趣旨 — 二重に聞かない
Q55	NFR-COMP-009a	④ 法令・運用体制・利用者番号	事業側	通常	本人からの開示・削除などの請求への対応要否	利用者本人から「自分のデータを見せてほしい・消してほしい」といった請求を受け付ける仕組みは必要ですか。 選択肢: - A) 必要。ただし Phase 1 は手動運用（申請はメール・問い合わせ窓口で受け、運用担当が手順書に沿って抽出・停止処理を行う） 【弊社の推奨・現行の暫定値】（U10 §10.5、月 10 件を超えたら自動化を前倒し） - B) 必要。Phase 1 から利用者本人が画面から申請できる仕組みが要る - C) 不要 - D) 未確定	A) 必要。ただし Phase 1 は手動運用（申請はメール・問い合わせ窓口で受け、運用担当が手順書に沿って抽出・停止処理を行う） 【弊社の推奨・現行の暫定値】（U10 §10.5、月 10 件を超えたら自動化を前倒し） / B) 必要。Phase 1 から利用者本人が画面から申請できる仕組みが要る / C) 不要 / D) 未確定	手動で回すか、申請用の画面と処理の流れを作るかで、開発量と対応の速さが変わるためです。	A は追加開発なし（手順書と担当者の確保のみ）。B は申請受付画面・進捗管理・期限監視の開発が追加になります。企業向けサービスのため請求件数は少ない想定で、A で期限内に対応できる見込みです。	C-209（個人データ削除権）と同趣旨 — 二重に聞かない
Q56	NFR-COMP-009b	④ 法令・運用体制・利用者番号	事業側	通常	「消してほしい」と「記録は残す」の境界	利用者から削除の請求があった場合、どこまで消して、どこから先は記録として残すかの線引きを、契約書にあらかじめ明記しますか。 選択肢: - A) 契約書に明記する（本人の情報は使えない状態にしたうえで表示名などを伏せ字化し、記録の中の本人を指す番号は残す） 【弊社の推奨・現行の暫定値】（U10 D-U10-13b） - B) 記録の保持を優先する旨だけ明記し、細部は都度判断 - C) 都度判断（明文化しない） - D) 未確定	A) 契約書に明記する（本人の情報は使えない状態にしたうえで表示名などを伏せ字化し、記録の中の本人を指す番号は残す） 【弊社の推奨・現行の暫定値】（U10 D-U10-13b） / B) 記録の保持を優先する旨だけ明記し、細部は都度判断 / C) 都度判断（明文化しない） / D) 未確定	線引きを決めておかないと、請求のたびに判断がぶれ、期限内に回答できなくなるためです。	A なら、削除処理の手順を 1 通りに固定でき、運用担当の判断negligible で回せます。C の場合は請求ごとに法務判断が必要となり、対応期限を守る難易度が上がります。法令に関わる判断のため、最終確定は法務確認が前提です。	B-RTBF-1（忘れられる権利 vs 監査記録の境界）と同趣旨 — 二重に聞かない
Q57	NFR-OPS-006a	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	緊急の脆弱性が見つかったときの修正期限	深刻な脆弱性が見つかったとき、何日以内に修正を適用する取り決めにしますか。 選択肢: - A) 最も深刻なもの: 24 時間以内 / 次に深刻なもの: 7 日以内 【弊社の推奨・現行の暫定値】（ADR-046 §C.3、Runbook RB-PLT-01） - B) 最も深刻なもの: 3 営業日以内 / 次に深刻なもの: 2 週間以内 - C) 顧客との契約で定める期限に合わせる（期限をご記入ください） - D) 未確定	A) 最も深刻なもの: 24 時間以内 / 次に深刻なもの: 7 日以内 【弊社の推奨・現行の暫定値】（ADR-046 §C.3、Runbook RB-PLT-01） / B) 最も深刻なもの: 3 営業日以内 / 次に深刻なもの: 2 週間以内 / C) 顧客との契約で定める期限に合わせる（期限をご記入ください） / D) 未確定	修正期限が短いほど、時間外・休日に人を動かせる体制が必要になり、運用の人員計画が変わるためです。	A の「24 時間以内」は、後述 NFR-OPS-008 で「平日日中のみ」を選んだ場合、金曜夕方に見つかった脆弱性で期限を守れません。両者は必ずセットで決める必要があります。24 時間を守るなら時間外の呼び出し当番（＝人員追加）が前提になります。	
Q58	NFR-OPS-006b	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	緊急でない更新をまとめて当てる頻度	緊急でない更新（重要度が中〜低の修正）は、どの頻度でまとめて適用しますか。 選択肢: - A) 重要度「中」は 30 日以内 / 「低」は 90 日以内、適用は月 1 回・深夜 2〜4 時の作業枠で実施し 7 日前に事前通知 【弊社の推奨・現行の暫定値】（ADR-046 §C.3、Runbook RB-PLT-03） - B) 四半期に 1 回まとめて適用 - C) 未確定	A) 重要度「中」は 30 日以内 / 「低」は 90 日以内、適用は月 1 回・深夜 2〜4 時の作業枠で実施し 7 日前に事前通知 【弊社の推奨・現行の暫定値】（ADR-046 §C.3、Runbook RB-PLT-03） / B) 四半期に 1 回まとめて適用 / C) 未確定	作業枠の頻度と時間帯が、サービス停止の許容範囲と運用担当の勤務形態を決めるためです。	月 1 回・深夜作業を前提に運用体制と稼働率の目標値を組んでいます。頻度を落とすと 1 回あたりの変更量が増え、障害時の切り分けが難しくなります。深夜作業を避ける場合は、無停止で切り替える仕組みの作り込み（追加開発）が必要です。	
Q59	NFR-OPS-007a	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	設定変更の申請・承認の流れと所要日数	本基盤の設定を変更するとき（アプリの追加、顧客のログイン先の追加、動作設定の変更など）の申請・承認の流れと、変更完了までの所要日数はどうしますか。 選択肢: - A) すべての変更は設定をコードで管理する方式（変更内容をコードの変更として提出 → レビュー → 自動適用）に統一。管理画面からの直接変更は禁止し、顧客のログイン先追加のみ専用の受付窓口を通す 【弊社の推奨・現行の暫定値】（U9 §9.5、禁則 K-5） - B) 変更の種類ごとに承認者と日数を分ける（種類別の一覧をご記入ください） - C) 未確定	A) すべての変更は設定をコードで管理する方式（変更内容をコードの変更として提出 → レビュー → 自動適用）に統一。管理画面からの直接変更は禁止し、顧客のログイン先追加のみ専用の受付窓口を通す 【弊社の推奨・現行の暫定値】（U9 §9.5、禁則 K-5） / B) 変更の種類ごとに承認者と日数を分ける（種類別の一覧をご記入ください） / C) 未確定	本基盤はアプリとは別の管理単位に置かれるため、アプリ担当者から本基盤側への申請という手続きが必ず発生するためです。	A は「誰がいつ何を変えたか」が自動的に記録に残り、設定のずれを毎日自動検出できます。B の場合、変更の種類ごとの受付窓口・承認者・所要日数の一覧を作り、それぞれの手順書を用意する工数が追加されます。	C-306（変更管理プロセス）と同趣旨 — 二重に聞かない
Q60	NFR-OPS-007b	④ 法令・運用体制・利用者番号	事業側	通常	緊急時に手順を飛ばして変更する場合の扱い	障害時など、通常の申請・承認を待てない場合に手順を飛ばして直接変更することを認めますか。 選択肢: - A) 認める。ただし発動そのものをインシデントとして扱い、役員 2 名の承認と、事後にコードへ反映することを必須とする 【弊社の推奨・現行の暫定値】（U9 禁則 K-5、ADR-040 §C） - B) 認めない（緊急時も通常の承認を通す） - C) 未確定	A) 認める。ただし発動そのものをインシデントとして扱い、役員 2 名の承認と、事後にコードへ反映することを必須とする 【弊社の推奨・現行の暫定値】（U9 禁則 K-5、ADR-040 §C） / B) 認めない（緊急時も通常の承認を通す） / C) 未確定	緊急の抜け道を用意しないと障害が長引き、逆に条件を決めずに用意すると常用されて記録が追えなくなるためです。	A の場合、平日日中のみの体制（後述 NFR-OPS-008a のα段階）では、夜間の役員 2 名の承認が取れず初動が遅れる制約があります。この制約は顧客への説明が必要です。	B-PAM-2（緊急発動時の役員承認プロセスの顧客説明）と同趣旨 — 二重に聞かない
Q61	NFR-OPS-008b	④ 法令・運用体制・利用者番号	事業側	通常	基盤ベンダーの有償サポート契約の要否	基盤ソフトウェアやクラウドの提供元との有償サポート契約は、どの水準で結びますか。 選択肢: - A) 基盤ソフトウェアのサポートは利用料に含まれるため追加契約不要。クラウド側のサポート水準のみ別途決定 【弊社の推奨・現行の暫定値】（ADR-056 / 前提 P-01） - B) 上位のサポート契約を追加で結ぶ（対象と水準をご記入ください） - C) 未確定	A) 基盤ソフトウェアのサポートは利用料に含まれるため追加契約不要。クラウド側のサポート水準のみ別途決定 【弊社の推奨・現行の暫定値】（ADR-056 / 前提 P-01） / B) 上位のサポート契約を追加で結ぶ（対象と水準をご記入ください） / C) 未確定	自社で解決できない障害が起きたときに、提供元からどれだけ早く回答を得られるかが、対応時間の約束を守れるかどうかを左右するためです。	A は追加費用なし。B はサポート契約費用が年額で追加されます。なお 24 時間 365 日の対応を約束する場合（NFR-OPS-008a の B）、提供元側も 24 時間対応の契約になっていないと約束が守れないため、a の回答とセットで決める必要があります。	
Q62	P-08a	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	顧客が使っている独自の ID をそのまま使うか	顧客企業が現在使っている独自の ID（社員番号・学籍番号・技能者 ID など）を、本基盤でも利用者を指す番号として使いますか。 選択肢: - A) 3 層に分けて持つ：①基盤が発番する内部番号（変わらない・すべての記録の紐付けに使う）②顧客の独自 ID（画面表示・検索用、変更あり得る）③顧客のログインシステム側の番号（突き合わせ用） 【弊社の推奨・現行の暫定値】（前提 P-08、ADR-018） - B) 顧客の独自 ID をそのまま基盤の主番号として使う - C) メールアドレスを主番号として使う - D) 未確定	A) 3 層に分けて持つ：①基盤が発番する内部番号（変わらない・すべての記録の紐付けに使う）②顧客の独自 ID（画面表示・検索用、変更あり得る）③顧客のログインシステム側の番号（突き合わせ用） 【弊社の推奨・現行の暫定値】（前提 P-08、ADR-018） / B) 顧客の独自 ID をそのまま基盤の主番号として使う / C) メールアドレスを主番号として使う / D) 未確定	顧客の独自 ID を主番号にすると、顧客側で人事システムを入れ替えたときにすべての紐付けが壊れるため、その回避方法を先に決める必要があるためです。	A なら、顧客側の ID 体系変更・ログインシステムの乗り換えを、基盤側の作り直しなしで吸収できます。B/C は当面の作りは単純になりますが、将来の変更時に全データの移行作業が発生します。またメールアドレスを持たない利用者（工場・現場作業者など）がいる場合、C は成立しません。	B-IDM-2（顧客独自 ID の体系）/ B-IDM-3（不変性）/ B-IDM-4・B-IDM-5（ID の重複）と同趣旨 — 二重に聞かない
Q63	G-DPA-b	④ 法令・運用体制・利用者番号	事業側	通常	公表文書に書く「関係する外国の名称」の書き方	利用者向けの公表文書（個人情報保護方針など）に、関係する外国の名称をどう記載しますか。 選択肢: - A) 具体的な国名を列挙する（クラウド提供元の所在国＋保守要員の所在国の候補を列挙） - B) 保守要員の所在国は「特定できない旨＋その理由＋候補となる外国の名称」として記載する 【弊社の推奨・現行の暫定値】 — 保守が地球を回るシフト制で常時特定できないため（U7 D-U7-24） - C) 未確定（法務確認中）	A) 具体的な国名を列挙する（クラウド提供元の所在国＋保守要員の所在国の候補を列挙） / B) 保守要員の所在国は「特定できない旨＋その理由＋候補となる外国の名称」として記載する 【弊社の推奨・現行の暫定値】 — 保守が地球を回るシフト制で常時特定できないため（U7 D-U7-24） / C) 未確定（法務確認中）	データの保管場所が東京・大阪の国内のみであっても、この公表は必要と整理されているためです（国内に置いたデータに海外から関与する場合も対象）。	設計そのものへの影響はありませんが、公表文書の文面確定がリリース前の必須作業になります。なお、具体的な認証方式・多要素認証の中身・防御ルールの内容は公表しなくてよい（公表すると防御に支障が出るもの）と整理されており、「多要素認証を導入」程度の粒度で足ります。法令に関わる判断のため、最終確定は法務確認が前提です。	
Q64	G-DPA-c	④ 法令・運用体制・利用者番号	事業側	通常	顧客企業との「委託に関する取り決め」への記載事項	貴社の顧客企業と結ぶ契約に、本基盤の責任範囲と漏えい時の通知に関する条項を、どこまで明記しますか。 選択肢: - A) 契約書の本文に明記する：①責任分担表（どこまでが弊社責任か）②漏えい時に 3〜5 日以内に顧客へ通知する義務 ③顧客のログインシステム側で多要素認証を実施する責任 【弊社の推奨・現行の暫定値】（U7 §7.7.4） - B) 契約書には概要のみ記載し、詳細は別の説明サイトに掲載する - C) 未確定	A) 契約書の本文に明記する：①責任分担表（どこまでが弊社責任か）②漏えい時に 3〜5 日以内に顧客へ通知する義務 ③顧客のログインシステム側で多要素認証を実施する責任 【弊社の推奨・現行の暫定値】（U7 §7.7.4） / B) 契約書には概要のみ記載し、詳細は別の説明サイトに掲載する / C) 未確定	本基盤は各顧客企業から業務を任される立場にあたるため、漏えい時に顧客企業へ速やかに通知しないと、弊社と顧客の双方に報告義務が残るためです。	1000 社を超える顧客それぞれに 3〜5 日以内で個別通知する必要があるため、通知先の自動特定と一斉配信・受領記録のしくみを機能として作り込みます（Phase 1 の開発対象）。B（説明サイトのみ）では契約上の明示として不十分と整理されているため、A を推奨します。法令に関わる判断のため、最終確定は法務確認が前提です。	
Q65	NFR-COMP-005a	④ 法令・運用体制・利用者番号	事業側	後回し可	カード決済業界の規格への対応（確定内容の再確認）	「カード決済業界の規格（PCI DSS）への対応は不要」という 2026-07-30 のご判断は、現在も変わりありませんか。 選択肢: - A) 変わりない（対応不要のまま） 【弊社の推奨・現行の暫定値】（B-PCI-1、2026-07-30 確定） - B) 変わった（対応が必要になった。時期・対象範囲をご記入ください）	A) 変わりない（対応不要のまま） 【弊社の推奨・現行の暫定値】（B-PCI-1、2026-07-30 確定） / B) 変わった（対応が必要になった。時期・対象範囲をご記入ください）	この判断を前提に、関連する設計項目（不正な通信を遮断する装置の追加要件・特定の追加本人確認の必須化・監査の受審計画）をすでに対象外にしているためです。	A なら影響なし。B の場合、対象外にした項目の復活に加え、外部審査機関による監査の受審費用と、24 時間 365 日の運用体制（後述 NFR-OPS-008 のβ段階）が前提条件になるため、リリース時期と費用の再計画が必要です。	
Q66	NFR-COMP-006a	④ 法令・運用体制・利用者番号	事業側	後回し可	米国政府が認定した暗号方式（確定内容の再確認）	「米国政府が認定した暗号方式（FIPS）は不要」という 2026-07-30 のご判断は、現在も変わりありませんか。 選択肢: - A) 変わりない（不要のまま） 【弊社の推奨・現行の暫定値】（前提 P-03、C-201 回答済み） - B) 変わった（必要になった。求める相手・根拠をご記入ください）	A) 変わりない（不要のまま） 【弊社の推奨・現行の暫定値】（前提 P-03、C-201 回答済み） / B) 変わった（必要になった。求める相手・根拠をご記入ください）	この判断が「使う製品そのもの」を変える力を持つためです（必要な場合、認定対応版の製品構成に切り替える必要がある）。ただしすでに「不要」で確定しているため、本項目は確認です。	A なら影響なし。B の場合、暗号処理まわりの製品構成と設定を認定対応版に切り替えることになり、動作検証のやり直しと、性能・費用の再試算が必要です。	
Q67	NFR-COMP-009c / B-APPI-R8-1	④ 法令・運用体制・利用者番号	事業側	後回し可	2028 年ごろ施行見込みの法改正で、本基盤が「代行する立場」に該当するか	2026 年 7 月に公布された個人情報保護法の改正（施行は 2028 年ごろ見込み）で新設される「委託を受けた事業者への特例」に、本基盤が当てはまるかどうかを、いま法務で確認しますか。 選択肢: - A) いま確認する（当てはまれば、本人からの開示・削除請求への対応義務が大きく軽くなる可能性がある） - B) 細則が公表されてから確認する 【弊社の推奨・現行の暫定値】 — Phase 1 は現行法どおりの設計を維持（U7 D-U7-23） - C) 未確定	A) いま確認する（当てはまれば、本人からの開示・削除請求への対応義務が大きく軽くなる可能性がある） / B) 細則が公表されてから確認する 【弊社の推奨・現行の暫定値】 — Phase 1 は現行法どおりの設計を維持（U7 D-U7-23） / C) 未確定	この特例に乗れるかどうかで、開示・削除請求の対応をどこまで自前で持つかが変わるためです。ただし細則がまだ公表されていません。	どちらでも漏えい時の報告体制の設計は変わりません（その部分は特例の対象外）。変わるのは開示・削除請求の対応範囲のみです。なお本基盤はログイン先の自動振り分けや利用者の自動登録など自ら判断するしくみを持つため、特例に当てはまるかは微妙という整理です。法令に関わる判断のため、最終確定は法務確認が前提です。	
Q69	FR-FED-006	⑤ アプリチーム向け	アプリチーム	最優先	SAML でしか接続できないアプリの有無	現在または今後接続する予定のアプリの中に、SAML 2.0 でしか認証連携できないものはありますか。	A) ない（すべて OIDC で接続可能）【弊社の推奨・現行の暫定値】（前提 P-14: 新規 = OIDC / 既存 SP = SAML） / B) ある（アプリ名と本数をご記入ください） / C) 未確定	本基盤が SAML の発行側（IdP モード）として振る舞う必要があるかどうかが決まるためです。要件表では現在 TBD のまま残っています。ServiceNow は該当が確定していますが、それ以外の把握ができていません。	B の場合、アプリ 1 本ごとに SAML Client（署名証明書・NameID 形式・属性マッピング）の設計と実機検証が必要で、アプリ数に比例して工数が増えます。また SAML には API 呼び出しの認可を扱う標準がないため、アプリが API を提供する場合は OIDC の併用が必須になります。	B-APP-OIDC-2（既存アプリの移行方針）と同趣旨
Q70	P-09	⑤ アプリチーム向け	アプリチーム	最優先	通行証（アクセストークン）の有効期限	アクセストークンの有効期限 30 分、リフレッシュトークン 30 日（ローテーションあり・絶対上限 24 時間・無操作 1 時間で失効） で、アプリ側の実装に支障はありませんか。	A) 支障なし 【弊社の推奨・現行の暫定値（前提 P-09）】 / B) アクセストークンをもっと長くしてほしい（希望値と理由をご記入ください） / C) もっと短くしたい（希望値と理由をご記入ください） / D) 未確定	有効期限はアプリ側のリフレッシュ実装とユーザー体験（再ログインの頻度）を直接決めるためです。	B は失効の反映が遅れます（後述 Q71 のゾンビ時間が延びる）。C はリフレッシュ回数が増え、トークン発行 API の負荷と応答時間の目標（p99 < 200ms）に影響します。アプリ側でリフレッシュ処理を実装していない場合、30 分でセッションが切れたように見えるため、実装状況の確認もお願いします。	
Q71	FR-SSO-009	⑤ アプリチーム向け	アプリチーム	最優先	失効が反映されるまでの猶予（ゾンビ時間）の許容	利用者を無効化・退職処理した後も、すでに発行済みのアクセストークンは最大 30 分間そのまま使えます。この状態を許容できますか。	A) 許容する（30 分以内に失効すればよい）【弊社の推奨・現行の暫定値】 / B) 許容できない — 即時に遮断したい（対象アプリ名をご記入ください） / C) 未確定	アクセストークンはアプリ側で基盤に問い合わせずに検証する方式のため、発行後に基盤側で取り消しても、期限が切れるまでアプリは有効と判断します。これは構造上の性質で、設定では消せません。	A は追加開発なしです。B は次のいずれかが必要になります。① アプリが API 呼び出しごとに基盤へ有効性を問い合わせる（応答時間が伸び、基盤の負荷が増える）② 有効期限を大幅に短くする（Q70 の C。リフレッシュ回数が増える）③ 失効通知を受け取る仕組みを実装する（ADR-065 の継続アクセス方式。Phase 2 以降）。退職者の即時遮断が業務上必須のアプリがあるかどうかが判断の分かれ目です。	
Q72	FR-SSO-006 / FR-SSO-007	⑤ アプリチーム向け	アプリチーム	最優先	ログアウト通知の受け取り方式	利用者がログアウトしたとき、アプリ側でセッションを破棄するための通知をどの方式で受け取りますか。	A) Back-Channel Logout（サーバー同士の直接通知。`POST /backchannel-logout` を実装）【弊社の推奨・現行の暫定値】 / B) Front-Channel Logout（ブラウザ経由で各アプリへ通知） / C) 受け取らない（アプリ側のセッションは自然失効に任せる） / D) 未確定	方式によってアプリ側の実装内容と、ログアウトの確実性が変わるためです。	A は成功率 90% 以上ですが、アプリ 1 本あたりエンドポイントの実装（署名検証・`iss`・`aud`・`events` の確認、`nonce` が無いことの確認、`sid` でのセッション特定）が必要です。B は成功率 60〜80% にとどまり（ブラウザのサードパーティ Cookie 制限の影響）、弊社では採用しません。C は共用端末で「ログアウトしたつもりが別アプリに入れてしまう」取り残しが起きます。	Q27（事業側にログアウト範囲の方針を確認）/ Q28（サーバー処理を持たないアプリの有無）
Q73	FR-AUTHZ-003 / FR-AUTHZ-006	⑤ アプリチーム向け	アプリチーム	最優先	アプリが必要とする権限情報	アプリが認可判断に使う情報を、通行証（JWT）に載せるか、基盤の API に問い合わせるか、どちらにしますか。	A) API に問い合わせる（`/api/me/context` を呼ぶ。通行証には最小限の情報のみ）【弊社の推奨・現行の暫定値（前提 P-10）】 / B) 通行証にロール情報を載せる（`roles` クレーム） / C) 併用（アプリごとに選択） / D) 未確定	通行証に載せる情報が増えるほどサイズが膨らみ、権限変更が通行証の期限切れまで反映されません（最大 30 分）。一方 API 問い合わせは毎回の通信が発生します。	A は権限変更が即座に反映され、通行証に個人情報を載せずに済みます（応答目標 p99 < 300ms）。B は権限変更の反映が最大 30 分遅れます。C を選ぶ場合、アプリごとにどちらかを申請いただく運用になります。	
Q74	FR-AUTH-005	⑤ アプリチーム向け	アプリチーム	通常	アプリ間で通行証を引き継ぐ必要があるか	あるアプリが別のアプリの API を、利用者の代理として呼び出す場面はありますか（Token Exchange / RFC 8693）。	A) ない 【現行は未確定 — 要件表で TBD のまま】 / B) ある（呼び出し元と呼び出し先のアプリ名をご記入ください） / C) 未確定	この仕組みを使うと、アプリ A が受け取った通行証をアプリ B 向けの通行証に交換できます。使わない場合、アプリ B は「誰の代理か」を安全に知る手段がありません。	B の場合、交換を許可する組み合わせの設計（どのアプリがどのアプリの通行証を得られるか）と、その監査記録が追加で必要です。製品としては対応可能なので、追加の製品費用は発生しません。	
Q75	FR-AUTHZ-004	⑤ アプリチーム向け	アプリチーム	通常	ロールの階層（継承）が必要か	「管理者は一般利用者の権限もすべて持つ」のようなロールの継承関係を、基盤側で表現する必要がありますか。	A) 不要（アプリ側で判断する）【弊社の推奨・現行の暫定値】 / B) 必要（想定する階層をご記入ください） / C) 未確定	基盤側で階層を持つと権限設計が中央に集まりますが、アプリ固有の事情を吸収しにくくなります。	A はアプリ側の実装に委ねるため基盤の追加作業はありません。B の場合、階層の定義と、ADR-038 の 3 層スコープとの整合設計が追加になります。	
Q76	FR-USER-002	⑤ アプリチーム向け	アプリチーム	通常	アプリ固有の属性を基盤に持たせる必要があるか	アプリが必要とする利用者の情報のうち、基盤側で保持してほしい項目はありますか。	A) ない（アプリ側のデータベースで持つ）【弊社の推奨・現行の暫定値】 / B) ある（項目名と用途をご記入ください） / C) 未確定	基盤に置く情報が増えるほど個人情報の取扱い範囲が広がり、削除請求への対応も複雑になるためです。	A なら「宣言していない項目は保存しない」仕組みをそのまま維持できます。B の場合、項目の命名規約・申請審査の手続きが新設され、削除請求時にその項目も対象になります。	Q22（お客様固有の追加項目）
Q77	FR-INT-005	⑤ アプリチーム向け	アプリチーム	通常	基盤からアプリへの通知は必要か	利用者が作成・無効化・削除されたとき、基盤からアプリへ能動的に通知する必要はありますか。それともアプリ側が必要なときに取りに来る形でよいですか。	A) アプリが取りに来る（基盤は API を提供するのみ。通知は行わない）【弊社の推奨・現行の暫定値】 / B) 基盤から通知してほしい（対象イベントと対象アプリをご記入ください） / C) 未確定	通知の仕組み（Webhook）を作ると、配信の保証・再送・重複排除・失敗時の扱いまで含めて基盤側の作り込みが発生するためです。	A は追加開発なしです。B は Webhook 配信の仕組み（署名・冪等性・再送）の実装が必要で、加えてイベント量に比例した通信費用が発生します。特にログイン成功のような高頻度イベントを対象にすると費用が跳ね上がるため、対象は「作成・無効化・削除」のような低頻度のものに絞ることを推奨します。	
