ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
E-1.2	E 方式判断	調査・計画	非機能: 移行・環境	開発・検証環境	開発・検証環境: 構成と共用方針の決定	開発・検証環境をいくつ、どう分けて持つかを決める	方針書。環境の数と分け方、共用範囲が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	E-1.1	未着手		NF-MIG-01
E-1.3	E 方式判断	調査・計画	非機能: 移行・環境	開発・検証環境	開発・検証環境: 試験用データの作り方と費用見積	試験に使うデータの作り方と、環境にかかる費用を見積もる	方針と見積。本物の個人情報を使わない作り方が定まっている	1	基盤チーム	基盤チーム	構成の前提	【省略・吸収】④ テストで計上（試験用データの作り方）。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	E-1.1	未着手		NF-MIG-01
D-16.4	D 判断	調査・計画	非機能: 移行・環境	既存からの移行	接続するアプリの切替計画（並行稼働・切り戻し）	既存の認証から本基盤へアプリを移すときの順序・並行稼働の期間・戻し方を決める	計画。切替の単位・判断の基準・戻す条件が定まっている	1.5	基盤チーム	アプリチーム	事故防止	Keycloak-Broker 側にユーザデータの移行は無いが、アプリの切替は必ず起きる。無計画だと止まる	対象	新規: 機能追加	—	未着手		NF-MIG-02
HA-11	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	共通：文字コード・日時・タイムゾーン方式	文字の扱い・日時の扱い・時差の扱いを統一する方針	方式設計。保存時と表示時の扱いが定まっている	0.5	共同	共同	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-STD-01
HA-13	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	共通：キャッシュ方式設計	よく使うデータを一時的に手元に置く仕組みの方針	方式設計。置く対象・保持時間・古くなった際の捨て方が定まっている	3	共同	共同	代替手段あり	Keycloak-Brokerが持つ一時保持は全アプリ共通。アプリ内の一時保持はアプリが決めるが、製品側の設定は共同で決める	対象	新規: 規模	—	未着手		NF-STD-01
HE-22a	HE つなぎ目設計	設計書の執筆	非機能: 設計標準・規約	API 設計規約	API エラーコード体系（Keycloak-Brokerの標準エラー）	接続仕様が返すエラーの種類と番号の体系（アプリが判定に使う）	エラーコード体系。番号の付け方と、意味の一覧が定まっている	2	基盤チーム	基盤チーム	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	対象	新規: 機能追加	—	未着手		NF-STD-02
HA-16	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	命名・構成管理規約	共通：命名規約（リソース/API/DB）	設備・顧客IdP・データの名前の付け方の決まり	命名規約。名前から用途と所属が分かる形になっている	0.5	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-STD-04
HA-17	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	命名・構成管理規約	共通：Terraform 設計規約	設備を設定ファイルで管理する際の書き方の決まり	規約。書き方の統一と、レビュー観点が定まっている	1	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	新規: 自社構築	—	未着手		NF-STD-04
HA-01	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	設計書の総則・前提・用語	前提：設計書 総則（目的・範囲・読み方）	設計書全体の入口となる章。目的・扱う範囲・読み方をまとめる	総則の章。範囲外の事項も明示されている	1	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-MGT-01
HA-02	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	設計書の総則・前提・用語	前提：前提条件一覧	設計の土台となる前提条件を一覧にし、変わった場合にどこへ影響するかを示す	前提一覧。各前提に影響範囲が紐づいている	1	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-MGT-01
HA-03	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	設計書の総則・前提・用語	前提：用語集・略語集	設計書で使う言葉の意味を統一する	用語集。本文で使う用語が漏れなく定義されている	0.5	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-MGT-01
HA-20	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	トレーサビリティ	非機能要件→設計対応表	性能や可用性などの目標値が、設計のどこで実現されるかを対応づけた表	対応表。すべての目標値に実現手段が紐づいている	2	基盤チーム	共同	横断（対象縮小）	応答時間の目標は、アプリの作り方と基盤の設備の両方で決まるため共同で決める	対象	新規: 規模	—	着手		NF-MGT-05
HA-24	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	トレーサビリティ	トレーサビリティマトリクス（要件→機能→設計→テスト）	要件・機能・設計・試験の対応関係を一覧にした表	対応表。要件から試験まで追跡でき、抜けが検出できる	5	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	着手		NF-MGT-05
HI-01	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第1回）	設計書間で矛盾がないかを通しで確認する（1 回目）	レビュー記録。指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	—	未着手		NF-MGT-06
HI-02	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第1回）	1 回目の指摘に対応して設計書を直す	改訂済みの設計書。指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	HI-01	未着手		NF-MGT-06
HI-03	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第2回）	設計書間で矛盾がないかを通しで確認する（2 回目）	レビュー記録。2 回目の指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-04	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第2回）	2 回目の指摘に対応して設計書を直す	改訂済みの設計書。2 回目の指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-05	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第3回）	設計書間で矛盾がないかを通しで確認する（3 回目）	レビュー記録。3 回目の指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-06	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第3回）	3 回目の指摘に対応して設計書を直す	改訂済みの設計書。3 回目の指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-07	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第4回）	設計書間で矛盾がないかを通しで確認する（4 回目）	レビュー記録。4 回目の指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-08	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第4回）	4 回目の指摘に対応して設計書を直す	改訂済みの設計書。4 回目の指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-09	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第5回）	設計書間で矛盾がないかを通しで確認する（5 回目）	レビュー記録。1 回目の指摘が解消されている	1	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	HI-02	未着手		NF-MGT-06
HI-10	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第5回）	5 回目の指摘に対応して設計書を直す	改訂済みの設計書。残課題が明示されている	2	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	HI-03	未着手		NF-MGT-06
HK-03	HK 顧客提供成果物	ガイド・手順書の執筆	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	アプリ側の実装ガイド（アプリ開発者向け）／渡す相手: 接続アプリ開発者	（廃止）アプリ開発者向けの実装ガイド。章ごとに分割したため、この行では作業しない	作業なし。分割先の各章で実施する	1	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	—	未着手		NF-DOC-01
HK-01	HK 顧客提供成果物	レビュー・合意	非機能: 提供ドキュメント	顧客向け説明資料	責任分界表／渡す相手: 全顧客（契約添付）	顧客と本基盤のどちらが何に責任を持つかを示す表	責任分界表。契約に添付できる粒度で整理されている	2	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	—	未着手		NF-DOC-02
HK-09	HK 顧客提供成果物	ガイド・手順書の執筆	非機能: 提供ドキュメント	顧客向け説明資料	サービス仕様書・制約事項一覧（ゾンビ窓/ログアウト限界/再認証の明示）／渡す相手: 全顧客	サービスの仕様と、利用上の制約をまとめた文書	仕様書。止めてから完全に切れるまでの時間差など、注意すべき制約が明記されている	1	基盤チーム	基盤チーム	顧客が行う	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	—	未着手		NF-DOC-02
