要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
NFR-SCL-005	自動スケーリング	負荷に応じて自動で増減すること	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-SCL-006	マルチリージョン対応（複数地域での同時稼働）	複数の地域で同時に動かせること	—	—（本基盤に作る機能なし）	災害対策の結論に従属。Phase 1 では別地域は待機のみ	—	Phase 1 では作らない
NFR-SCL-007	データベーススケール（Keycloak）	データベースを増強できること	NF-ARC-07	データベース設計（Keycloak-Broker）	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-001	通信暗号化	通信が暗号化されていること	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-001	通信暗号化	通信が暗号化されていること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-SEC-002	データ暗号化（at-rest）	保管したデータが暗号化されていること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-SEC-002	データ暗号化（at-rest）	保管したデータが暗号化されていること	NF-SEC-03	個人情報の取り扱い	運用委託先や記録から個人情報が漏れないようにする方式	インフラ（本基盤）	全工程あり
NFR-SEC-003	トークン署名アルゴリズム	JWT の署名方式が安全なものであること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
NFR-SEC-003	トークン署名アルゴリズム	JWT の署名方式が安全なものであること	F-BAT-04	JWT 署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
NFR-SEC-004	Access Token TTL	JWT の有効期限が適切に短いこと	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
NFR-SEC-005	Refresh Token TTL	更新用の資格の有効期限が定められていること。設定上限は 30 日だが、実効はセッションの上限（12 時間）に従属する	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
NFR-SEC-006	ID Token TTL	本人確認結果の有効期限が定められていること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
NFR-SEC-007	Refresh Token Rotation	更新用の資格を使うたびに入れ替えること	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
NFR-SEC-008	トークン失効（Revocation）	発行済みの資格を失効させられること（アクセストークンの残存 30 分は FR-SSO-009 と同じ）	F-PROV-10	ユーザの停止（消さずに無効化）	ユーザを削除せず使えない状態にし、停止日時を記録する	インフラ（本基盤）	全工程あり
NFR-SEC-009	パスワード保管アルゴリズム	パスワードを安全な方式で保管すること	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	F-AUTH-02	顧客IdPの自動振り分け	ログイン画面で入力された ID から、その人がどの顧客IdPのユーザかを判定し、自動で振り分ける	インフラ（本基盤）	全工程あり
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	F-AUTH-21	ユーザの存在推測の防止	その ID が実在するかが応答の違いから分からないようにする。1 件ずつ試して実在者を割り出されるのを防ぐ	インフラ（本基盤）	全工程あり
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	F-AUTH-26	エラー・案内画面（Keycloak-Broker）	Keycloak-Brokerが出すエラー・案内の画面。ログインや振り分けに失敗したときの文言と誘導	インフラ（本基盤）	全工程あり
NFR-SEC-010	ブルートフォース対策	総当たりを防ぐこと	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	全工程あり
NFR-SEC-011-a	WAF 適用（境界側の実装）	外部からの攻撃を入口で遮ること（WAF）	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-011-a	WAF 適用（境界側の実装）	外部からの攻撃を入口で遮ること（WAF）	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-011-b	WAF 適用（要求仕様と受入確認）	外部からの攻撃を入口で遮ること（WAF）	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-011-b	WAF 適用（要求仕様と受入確認）	外部からの攻撃を入口で遮ること（WAF）	NF-ARC-06	他組織との構成調整	インターネット境界を管理する他組織との要求事項のやり取りと合意	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-011-b	WAF 適用（要求仕様と受入確認）	外部からの攻撃を入口で遮ること（WAF）	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-012-a	DDoS 対策（境界側の実装）	大量の通信で止められないようにすること	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-012-a	DDoS 対策（境界側の実装）	大量の通信で止められないようにすること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	他組織（境界・共通基盤）	他組織で実施
NFR-SEC-012-b	DDoS 対策（要求仕様と受入確認）	大量の通信で止められないようにすること	NF-ARC-06	他組織との構成調整	インターネット境界を管理する他組織との要求事項のやり取りと合意	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-012-b	DDoS 対策（要求仕様と受入確認）	大量の通信で止められないようにすること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SEC-013	ペネトレーションテスト	疑似攻撃検査を定期的に受けること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	全工程あり
NFR-SEC-014	脆弱性スキャン	部品の弱点を定期的に検査すること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-SEC-015	シークレット管理	接続用パスワードや鍵を安全に保管すること	F-BAT-05	アプリの接続用パスワードの定期入れ替え	アプリごとの接続用パスワードを定期的に入れ替える	インフラ（本基盤）	全工程あり
NFR-SEC-015	シークレット管理	接続用パスワードや鍵を安全に保管すること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-SEC-016	ネットワーク分離（Private Subnet）	外から直接触れない区画に置くこと	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-017	管理画面アクセス制御	管理のための入口を限られた元からだけ通すこと	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-017	管理画面アクセス制御	管理のための入口を限られた元からだけ通すこと	NF-OPS-04	緊急時の管理者アクセス	通常経路が使えないときに管理者が入る仕組み	インフラ（本基盤）	全工程あり
NFR-SEC-018	JWKS エンドポイント保護	署名鍵の公開先を守ること	NF-ARC-06	他組織との構成調整	インターネット境界を管理する他組織との要求事項のやり取りと合意	インフラ（本基盤）	全工程あり
NFR-SEC-018	JWKS エンドポイント保護	署名鍵の公開先を守ること	NF-SEC-01	攻撃経路と対策	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	インフラ（本基盤）	全工程あり
NFR-SEC-019	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する	F-AUTH-09	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-Broker から見て Keycloak-IdP を顧客IdP の 1 つ（共有エントリ）として接続する。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値を含む。Keycloak-IdP 側の Client・Realm 設定は要求仕様としてアプリチームへ渡す（2026-09-07 復活: 2 台構成に戻したため）	インフラ（本基盤）	全工程あり
NFR-SEC-019	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	インフラ（本基盤）	全工程あり
NFR-SEC-019	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-020	セッション固定攻撃対策	ログインの前後で状態を作り替え、乗っ取りを防ぐこと	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
NFR-SEC-010-2	侵害クレデンシャル検出	流出したパスワードの使用を拒否できること	F-AUTH-22	流出パスワードの使用拒否	入力されたパスワードが過去に流出したものでないかを確認し、該当する場合は使わせない	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側）
NFR-SEC-021	運用者アカウントと権限の保護	本基盤運用者の認証を WebAuthn 必須とし、常時の全権付与を禁止し、緊急時アクセスと定期棚卸しを定めること	NF-OPS-04	緊急時の管理者アクセス	通常経路が使えないときに管理者が入る仕組み	インフラ（本基盤）	全工程あり
NFR-SEC-021	運用者アカウントと権限の保護	本基盤運用者の認証を WebAuthn 必須とし、常時の全権付与を禁止し、緊急時アクセスと定期棚卸しを定めること	NF-OPS-11	運用者アカウントと権限の保護	本基盤運用者のローカル認証（WebAuthn 必須）、常時の全権付与の禁止と必要時だけの昇格、緊急時アクセスとの関係、定期棚卸し	インフラ（本基盤）	全工程あり
NFR-SEC-021	運用者アカウントと権限の保護	本基盤運用者の認証を WebAuthn 必須とし、常時の全権付与を禁止し、緊急時アクセスと定期棚卸しを定めること	NF-OPS-08	運用プロセス（受付・変更・障害）	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	インフラ（本基盤）	全工程あり
NFR-SEC-022	サプライチェーン対策（依存の検査・イメージ署名・部品一覧）	自社拡張と実行イメージの依存を検査し、署名し、部品一覧（SBOM）を出せること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-SEC-023	不正兆候の検知	ログイン失敗の急増などの不正兆候を検知して通知できること	F-INT-08	不正なログインの兆候の検知	不正なログインの兆候を検知して通知する	インフラ（本基盤）	全工程あり
NFR-DR-001	RTO（目標復旧時間）	目標の時間内に復旧できること	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-001	RTO（目標復旧時間）	目標の時間内に復旧できること	NF-AVL-03	稼働率・復旧目標（SLA / SLO）	顧客に約束する稼働率と復旧目標、および約束しない範囲	インフラ（本基盤）	全工程あり
NFR-DR-002	RPO（目標復旧地点）	失うデータを目標の範囲に収めること	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-002	RPO（目標復旧地点）	失うデータを目標の範囲に収めること	NF-AVL-03	稼働率・復旧目標（SLA / SLO）	顧客に約束する稼働率と復旧目標、および約束しない範囲	インフラ（本基盤）	全工程あり
NFR-DR-003	フェイルオーバー方式	別地域へ切り替える方式が定まっていること。現行の方向は手動・大阪で作り直し（復旧方式の決定 D-18.2 待ち。顧客希望 RTO 1 日との差は D-18.1 で明示）	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-004	バックアップ保存期間	控えを一定期間保つこと	NF-AVL-02	バックアップ・復元	誤操作やデータの壊れからの復元手順。同一地域内で行う	インフラ（本基盤）	全工程あり
NFR-DR-005	PITR（Point-in-Time Recovery）	時点を指定して戻せること	NF-AVL-02	バックアップ・復元	誤操作やデータの壊れからの復元手順。同一地域内で行う	インフラ（本基盤）	全工程あり
NFR-DR-006	クロスリージョンバックアップ	控えを別の地域にも置くこと	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-007	DR 訓練	復旧の訓練を定期的に行うこと	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-008	DR 切替時のセッション維持	切り替えてもログインし直さずに済むこと	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	—	Phase 1 では作らない（再ログイン前提。DR-02 で確認）
NFR-OPS-001	監視・メトリクス	動きを測る値が取れること	NF-OPS-01	監視項目・閾値・通知	何を見張り、どの値で誰に知らせるか	インフラ（本基盤）	全工程あり
NFR-OPS-002	アラート通知	異常を検知したら通知が届くこと	F-INT-11	顧客IdP の接続情報の自動追随	顧客IdPの接続情報を定期的に取り直し、証明書の入れ替えに自動追随する	インフラ（本基盤）	全工程あり
NFR-OPS-002	アラート通知	異常を検知したら通知が届くこと	F-BAT-07	顧客IdP・本基盤の証明書の期限監視	顧客IdP の署名証明書と本基盤の署名証明書・TLS 証明書について、期限切れが近いものを検出して通知する	インフラ（本基盤）	全工程あり
NFR-OPS-002	アラート通知	異常を検知したら通知が届くこと	NF-OPS-01	監視項目・閾値・通知	何を見張り、どの値で誰に知らせるか	インフラ（本基盤）	全工程あり
NFR-OPS-003-a	ログ保存期間（出力・項目・保持年数の指定）	記録を定められた期間保つこと	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-OPS-003-b	ログ保存期間（共通基盤側の保管）	記録を定められた期間保つこと	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-004-a	ログ検索性（出力・項目・保持年数の指定）	記録を必要な条件で探せること	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-OPS-004-b	ログ検索性（共通基盤側の検索）	記録を必要な条件で探せること	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-005	バージョンアップ方針	Keycloak の版を上げる方針が定まっていること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-OPS-006	パッチ適用（CVE 対応）	弱点への修正を定めた期間内に当てること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-OPS-007	設定変更プロセス	設定を変えるときの手順が定まっていること	NF-OPS-08	運用プロセス（受付・変更・障害）	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-008	インシデント対応体制	障害に対応する体制があること	NF-OPS-02	運用体制・当番	当番の組み方と通知先の割り当て	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-008	インシデント対応体制	障害に対応する体制があること	NF-OPS-03	運用手順書	事故対応・報告・顧客の受け入れなど、運用時に手順どおり行う作業	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-008	インシデント対応体制	障害に対応する体制があること	NF-OPS-08	運用プロセス（受付・変更・障害）	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-009	運用工数（人月）	運用にかかる人手が想定の範囲に収まること	NF-OPS-10	定期作業の計画と引き継ぎ	日次・週次・月次・年次に行う作業の一覧と暦。運用開始前の引き継ぎと教育を含む	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-010	デプロイ自動化（CI/CD）	入れ替えを自動で行えること	NF-STD-04	命名・構成管理規約	リソース・API・DB の命名と、構成をコードで管理するときの規約	インフラ（本基盤）	全工程あり
NFR-OPS-011-a	テナント追加の運用 SLA（本基盤側の作業）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-011-a	テナント追加の運用 SLA（本基盤側の作業）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	NF-OPS-09	サービスレベルの測定と報告	約束した稼働率や応答時間を実際に測り、顧客へ定期的に報告する	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-011-b	テナント追加の運用 SLA（境界側の外向き許可）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-011-b	テナント追加の運用 SLA（境界側の外向き許可）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	NF-OPS-09	サービスレベルの測定と報告	約束した稼働率や応答時間を実際に測り、顧客へ定期的に報告する	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-012	Keycloak-IdP 側の構築・運用の責任分界	Keycloak-IdP 用の基盤（ROSA）をどこまで作って渡すか、渡した後の非機能を誰が持つかが合意されていること	F-AUTH-29	Keycloak-IdP 側の引き渡しと責任分界	本基盤が Keycloak-IdP 用の基盤（ROSA）をどこまで作って渡すか、渡した後の非機能を誰が持つかの取り決め。**機能ではなく合意事項**だが、作業の受け皿として機能名の位置に置く	インフラ（本基盤）	全工程あり
NFR-OPS-013	環境構成（本番 / 検証 / 開発）	環境ごとの構成差分と、検証環境に本番データを入れない規律が定まっていること	NF-ARC-05	環境構成（本番 / stg / dev）	環境ごとの構成の差分と、どこまで揃えるか	インフラ（本基盤）	全工程あり
NFR-OPS-013	環境構成（本番 / 検証 / 開発）	環境ごとの構成差分と、検証環境に本番データを入れない規律が定まっていること	NF-MIG-01	開発・検証環境	開発と検証に使う環境の構成・共用方針・試験用データ	インフラ（本基盤）	全工程あり
NFR-COMP-001	個人情報保護法対応	個人情報保護法に沿った扱いをすること	NF-SEC-03	個人情報の取り扱い	運用委託先や記録から個人情報が漏れないようにする方式	インフラ（本基盤）	全工程あり
NFR-COMP-002	GDPR / CCPA（海外展開時）	海外の個人情報の規則に沿えること	—	—（本基盤に作る機能なし）	海外展開時に再評価	—	Phase 1 では作らない
NFR-COMP-003	SOC 2 Type II	第三者認証（SOC 2）に対応できること	—	—（本基盤に作る機能なし）	取得の予定が決まってから	—	Phase 1 では作らない
NFR-COMP-004	ISO 27001	第三者認証（ISO 27001）に対応できること	—	—（本基盤に作る機能なし）	同上	—	Phase 1 では作らない
NFR-COMP-005	PCI DSS（金融）	カード業界の基準に対応できること	—	—（本基盤に作る機能なし）	該当する顧客が現れてから	—	Phase 1 では作らない
NFR-COMP-006	FIPS 140-3 認定（暗号モジュール認定、旧 140-2）	暗号の実装が国の認定を受けていること	—	—（本基盤に作る機能なし）	不要と確定（2026-07-30）	—	Phase 1 では作らない
NFR-COMP-007-a	監査ログ保存期間（法令要件）（出力・項目・保持年数の指定）	法令が求める期間まで記録を保つこと	F-BAT-09	保存期限切れデータの消去	保存期限を過ぎたデータを実際に消去する。初期リリースでは準備のみ	インフラ（本基盤）	全工程あり
NFR-COMP-007-a	監査ログ保存期間（法令要件）（出力・項目・保持年数の指定）	法令が求める期間まで記録を保つこと	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-COMP-007-b	監査ログ保存期間（法令要件）（共通基盤側の保管）	法令が求める期間まで記録を保つこと	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
NFR-COMP-008	データ所在地（リージョン制限）	データを置く地域を限定できること	NF-ARC-01	全体構成（論理・物理）	システム全体の構成を論理・物理の両面で示す図と、その清書	インフラ（本基盤）	全工程あり
NFR-COMP-009-a	個人データ削除権（GDPR Right to Erasure）（本基盤の窓口と Keycloak-Broker 側）	本人の求めに応じてデータを消せること	F-ADM-23	顧客の解約	顧客がサービスから離脱するときのデータの扱いと停止の段取り	インフラ（本基盤）	全工程あり
NFR-COMP-009-a	個人データ削除権（GDPR Right to Erasure）（本基盤の窓口と Keycloak-Broker 側）	本人の求めに応じてデータを消せること	F-ADM-24	本人からの開示・削除請求への対応	本人から求められたときに、保有する個人データを開示し、または削除する	インフラ（本基盤）	全工程あり
NFR-COMP-009-b	個人データ削除権（GDPR Right to Erasure）（権限データ側）	本人の求めに応じてデータを消せること	F-ADM-24	本人からの開示・削除請求への対応	本人から求められたときに、保有する個人データを開示し、または削除する	アプリ（管理画面・idm-api）	アプリ側で実施
NFR-COMP-010	アクセス監査の追跡可能性	誰がいつ何をしたかを追えること	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	F-BAT-04	JWT 署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	F-BAT-05	アプリの接続用パスワードの定期入れ替え	アプリごとの接続用パスワードを定期的に入れ替える	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	F-BAT-07	顧客IdP・本基盤の証明書の期限監視	顧客IdP の署名証明書と本基盤の署名証明書・TLS 証明書について、期限切れが近いものを検出して通知する	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-COST-001	初期構築費	初期に作るための費用が見積もられていること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-002	月額固定インフラ費	毎月かかる設備の費用が見積もられていること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-003	MAU あたりコスト（連携）	ユーザ 1 人あたりの費用が把握できること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-004	DR 追加月額	災害対策を持つ場合の追加費用が把握できること	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-005	運用人件費	運用にかかる人件費が見積もられていること	NF-OPS-10	定期作業の計画と引き継ぎ	日次・週次・月次・年次に行う作業の一覧と暦。運用開始前の引き継ぎと教育を含む	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-006	RHBK サブスクリプション	Keycloak の商用サポート費用の要否が定まっていること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	確定（RHBK は ROSA に内包され追加費用なし。P-01）
NFR-COST-007	損益分岐 MAU（連携のみ）	どの規模から自前が有利になるかが分かること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-008	3 年 TCO（10 万 MAU 想定）	3 年分の総額が把握できること（小規模）	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-009	3 年 TCO（50 万 MAU 想定）	3 年分の総額が把握できること（中規模）	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-MIG-001	既存認証システムからのユーザー移行	既存の認証からユーザを移せること	NF-MIG-02	既存からの移行	既存の仕組みから本基盤へ移るときの段取りと、移行先にしかいないユーザの扱い	アプリ（Keycloak-IdP）	アプリ側で実施
NFR-MIG-002	パスワード移行（ハッシュ持ち越し）	パスワードを暗号化したまま引き継げること	NF-MIG-02	既存からの移行	既存の仕組みから本基盤へ移るときの段取りと、移行先にしかいないユーザの扱い	アプリ（Keycloak-IdP）	アプリ側で実施
NFR-MIG-003	ベンダーロックイン回避	特定の製品に縛られない作りであること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
NFR-MIG-003	ベンダーロックイン回避	特定の製品に縛られない作りであること	NF-STD-02	API 設計規約	API の命名・エラーの返し方・件数の区切り方・冪等・版管理と廃止方針	インフラ（本基盤）	全工程あり
NFR-MIG-004	データエクスポート	データを取り出せること	F-ADM-23	顧客の解約	顧客がサービスから離脱するときのデータの扱いと停止の段取り	インフラ（本基盤）	全工程あり
